UNITID,NPT4_PRIV,NPT4_PUB,TUITFTE,UG12MN
173416,NULL,11442,4196,3566
173452,18881,NULL,13819,1305
173461,NULL,13527,4594,7873
173470,12692,NULL,7692,37
173559,NULL,11460,3213,8125
173638,NULL,10643,3647,4724
173647,21853,NULL,18443,2198
173665,20492,NULL,17402,2336
173683,NULL,NULL,13043,NULL
173708,NULL,12878,3537,7151
173735,NULL,9925,4848,1572
173744,16275,NULL,12458,675
173799,NULL,11437,3770,6767
173805,NULL,12118,2978,1718
173896,NULL,NULL,7700,NULL
173902,25783,NULL,23225,2174
173911,NULL,10184,3571,4647
173920,NULL,16035,6988,14969
173957,NULL,NULL,12120,213
173993,NULL,7197,2567,1844
174020,NULL,15549,5240,9900
174066,NULL,17479,13669,45465
174075,NULL,11410,6031,3343
174118,14477,NULL,21220,195
174127,27376,NULL,21100,739
174136,NULL,13115,2490,10724
174154,19725,NULL,13014,570
174190,15502,NULL,14535,192
174233,NULL,17319,8827,10633
174251,NULL,10572,5069,1778
174321,11887,NULL,11509,135
174358,NULL,16944,5928,6002
174376,NULL,10138,3156,9742
174385,19181,NULL,170220,45
174428,NULL,12906,3525,14942
174437,21314,NULL,12198,1166
174473,NULL,11303,3624,4583
174491,22901,NULL,14794,3724
174507,21642,NULL,19357,322
174525,18293,NULL,11736,129
174570,NULL,11470,2266,2687
174604,NULL,8890,2979,482
174738,NULL,14480,3609,7057
174747,26332,NULL,18703,1975
174756,NULL,9847,2981,5624
174783,NULL,14449,5668,14944
174792,25009,NULL,18304,1769
174817,19888,NULL,13209,1749
174844,23386,NULL,20956,3120
174862,24050,NULL,12245,1178
174899,23232,NULL,13974,3193
174914,28904,NULL,19793,6558
174978,15432,NULL,9634,211
175005,19131,NULL,17987,3827
175014,17114,NULL,17517,9108
175041,NULL,12044,2335,10004
175078,NULL,14435,3895,8093
175120,9259,NULL,22,876
175139,NULL,NULL,6993,NULL
175157,NULL,12060,2836,948
175227,22853,NULL,20342,1500
175236,NULL,12409,3768,4758
175263,NULL,14163,3712,2762
175272,NULL,17399,6072,8249
175281,NULL,NULL,21959,NULL
175315,NULL,11071,3117,12440
175342,NULL,14352,2668,3297
175421,18460,NULL,12635,2877
175430,12120,NULL,5854,666
175494,15376,NULL,2023,143
175519,NULL,540,5,2596
175528,21630,NULL,12391,533
175573,NULL,3666,1336,3910
175607,13168,NULL,7552,27
175616,NULL,12914,4787,3755
175643,NULL,5260,656,3152
175652,NULL,6489,1800,6375
175698,12364,NULL,8199,54
175722,18005,NULL,11527,45
175786,NULL,4086,1482,16162
175810,NULL,4332,1520,8544
175829,NULL,5465,3335,6821
175856,NULL,13492,5186,7550
175883,NULL,5024,900,6300
175935,NULL,5804,1431,4727
175980,23390,NULL,12838,923
176008,NULL,2905,505,3460
176017,NULL,13857,11133,20448
176035,NULL,11152,5433,3020
176044,NULL,15874,2230,2344
176053,17192,NULL,11096,3676
176062,8260,NULL,5580,77
176071,NULL,7677,3053,12264
176080,NULL,16830,8614,19773
176169,NULL,11236,1111,4379
176178,NULL,5808,1381,10714
176239,NULL,7538,1052,6217
176318,10364,NULL,10534,974
176336,6002,NULL,1951,44
176354,NULL,4339,1292,2496
176372,NULL,14126,6573,13581
176390,7969,NULL,8077,225
176406,14262,NULL,6931,863
176451,NULL,NULL,7293,NULL
176479,18905,NULL,14092,4428
176600,NULL,NULL,18132,NULL
176628,19174,NULL,13285,1509
176664,20857,NULL,9548,286
176716,16714,NULL,11262,203
176770,18450,NULL,15403,977
176789,8017,NULL,8195,305
176798,NULL,12976,2422,306
176910,14339,NULL,6055,268
176947,19764,NULL,19447,1116
176965,NULL,13384,6708,12748
176983,NULL,6816,4579,74
177038,31712,NULL,24572,117
177056,NULL,16805,12493,135
177065,24148,NULL,8756,18165
177083,27244,NULL,22869,78
177092,NULL,NULL,7538,NULL
177117,18669,NULL,7203,284
177126,NULL,NULL,7048,NULL
177135,NULL,5341,2731,6565
177144,20231,NULL,10679,1201
177214,18595,NULL,11495,1511
177250,NULL,7588,2201,3722
177278,NULL,NULL,8154,NULL
177287,11431,NULL,7588,213
177302,14189,NULL,10363,432
177339,22289,NULL,10809,1713
177418,21406,NULL,15275,1059
177436,NULL,13922,4177,59
177472,NULL,7669,2293,17567
177542,21189,NULL,9620,1068
177551,NULL,11256,3746,1750
177588,10014,NULL,10329,48
177603,12359,NULL,7566,85
177676,NULL,7990,2589,5663
177685,13497,NULL,7764,144
177719,NULL,NULL,20664,944
177746,30887,NULL,19228,677
177816,34320,NULL,18381,54
177834,NULL,NULL,42663,NULL
177870,NULL,3330,228,16
177931,NULL,12740,7237,57
177940,NULL,11252,2828,2950
177968,18264,NULL,13700,7892
177977,NULL,8577,5589,1457
177986,14239,NULL,20948,235
177995,NULL,6337,2285,24011
178004,30768,NULL,8971,263
178059,25045,NULL,12781,3598
178077,17005,NULL,9493,98
178110,10591,NULL,5491,123
178183,21130,NULL,14369,430
178208,14503,NULL,5924,775
178217,NULL,8260,1901,4401
178244,20708,NULL,10292,4874
178341,NULL,9635,3046,6748
178369,19055,NULL,6412,1971
178387,NULL,10607,6194,5996
178396,NULL,18480,11515,25719
178402,NULL,14273,12016,13657
178411,NULL,14205,12145,7189
178420,NULL,10880,8797,17073
178448,NULL,6904,3704,7398
178466,NULL,7730,5594,107
178518,NULL,NULL,7992,NULL
178527,7724,NULL,7115,57
178615,NULL,12119,4764,6264
178624,NULL,12207,7405,6032
178679,15948,NULL,8922,653
178697,9380,NULL,2432,1775
178721,16185,NULL,9571,13931
178767,16691,NULL,13008,165
178828,NULL,14264,2176,26
178891,16307,NULL,11268,1939
178989,NULL,NULL,27358,370
179043,21973,NULL,16256,2330
179052,NULL,5445,2592,118
179159,27861,NULL,21474,12116
179195,4279,NULL,4437,57
179229,6744,NULL,5867,33
179238,NULL,14556,9980,45
179256,18250,NULL,8227,139
179265,30579,NULL,28820,467
179308,NULL,7514,2017,28937
179317,NULL,NULL,13221,NULL
179326,16532,NULL,10878,3052
179344,NULL,7895,1810,2371
179450,NULL,NULL,12801,647
179511,22726,NULL,17117,430
179539,NULL,4723,3105,6094
179548,23231,NULL,13930,698
179557,NULL,13113,5876,11693
179566,NULL,16526,6950,22849
179645,NULL,8193,778,4243
179715,NULL,8053,2352,2609
179812,NULL,NULL,31725,NULL
179867,27427,NULL,26447,8642
179894,22206,NULL,16848,3624
179946,21674,NULL,9358,843
179955,22556,NULL,11774,1027
179964,21098,NULL,8673,1087
179991,10977,NULL,4303,44
180054,7915,NULL,5181,619
180063,9680,NULL,6478,52
180081,NULL,9878,4254,1010
180090,7902,NULL,4196,134
180106,25674,NULL,16405,1402
180151,NULL,9123,4343,651
180160,NULL,4289,1332,429
180179,NULL,14005,5699,5220
180197,NULL,9153,4632,3537
180203,NULL,5242,1281,351
180212,NULL,1351,2187,573
180249,NULL,9678,3351,2472
180258,20355,NULL,10031,1148
180276,NULL,11240,3144,1783
180328,NULL,7613,2105,484
180373,NULL,8288,4242,860
180416,NULL,13886,7535,1882
180461,NULL,18036,10478,16187
180489,NULL,15353,8774,10590
180522,NULL,13024,5468,1451
180595,17874,NULL,14223,942
180647,7274,NULL,1563,1112
180692,NULL,12907,6517,1771
180771,14187,NULL,9606,25
180814,12055,NULL,11810,7570
180832,24964,NULL,14338,910
180878,24101,NULL,17790,633
180902,NULL,8217,2048,9156
180948,NULL,14234,4967,2643
180957,15287,NULL,14009,174
180984,20331,NULL,10836,2064
181002,29994,NULL,27034,4738
181020,24555,NULL,12588,1089
181127,22107,NULL,8567,1201
181145,NULL,NULL,2056,26
181190,10882,NULL,7005,233
181215,NULL,16603,5565,5350
181242,NULL,NULL,10788,428
181297,23779,NULL,14948,1054
181303,NULL,4227,1991,24779
181312,NULL,6223,2089,3185
181330,22506,NULL,12936,1764
181376,18388,NULL,7538,157
181394,NULL,13511,6733,14566
181400,NULL,15409,11699,548
181419,NULL,14143,5109,302
181428,NULL,NULL,13795,1031
181446,23259,NULL,12123,3792
181464,NULL,18086,10061,22136
181491,NULL,8760,2765,6541
181534,NULL,14823,4021,2703
181543,5581,NULL,4517,30
181604,14725,NULL,13516,920
181640,NULL,9853,2188,14658
181738,22595,NULL,16040,836
181765,NULL,12469,2784,412
181783,NULL,13454,4677,3218
181817,NULL,5416,2081,2463
181853,16107,NULL,8977,464
181880,14718,NULL,13005,383
181941,16361,NULL,6778,627
182005,NULL,6752,2589,49495
182111,20393,NULL,7864,978
182148,17899,NULL,11847,301
182281,NULL,10551,7211,28269
182290,NULL,14122,7092,20465
182306,NULL,7502,2911,4609
182458,24737,NULL,14280,503
182500,NULL,8072,2794,15830
182564,NULL,10960,2382,4637
182634,26950,NULL,10624,1001
182652,14137,NULL,17568,55
182670,31449,NULL,32303,4798
182704,9103,NULL,22656,116
182722,3599,NULL,18598,157
182795,30134,NULL,16040,1889
182829,NULL,NULL,15037,NULL
182892,13286,NULL,15246,52
182917,9930,NULL,12511,71
182953,15428,NULL,9770,193
182980,27674,NULL,9855,2407
182999,24018,NULL,9368,31
183026,40334,NULL,10259,106439
183035,18537,NULL,9120,37
183044,NULL,22909,13676,13824
183062,NULL,18192,10945,4081
183071,NULL,12251,12069,1019
183080,NULL,20876,9959,4434
183099,NULL,17289,6676,5716
183105,NULL,14611,6869,1527
183114,NULL,16528,6245,1659
183123,NULL,17737,6869,1963
183132,NULL,14562,6623,5002
183141,NULL,15636,6619,3143
183150,NULL,16392,8582,3313
183202,15592,NULL,10501,49
183211,25490,NULL,11779,1767
183239,32023,NULL,20942,2001
183248,NULL,NULL,18325,211
183257,NULL,13604,5660,2688
183275,16226,NULL,10300,91
183488,27261,NULL,14777,598
183600,NULL,NULL,1905,47
183655,NULL,9593,2938,7927
183725,17770,NULL,13239,832
183743,NULL,9678,5333,19671
183789,16276,NULL,19768,5123
183804,NULL,NULL,2692,3116
183822,20951,NULL,17938,1935
183859,NULL,7987,3205,18316
183877,NULL,7107,3654,15412
183910,22967,NULL,17817,1666
183938,NULL,6850,3236,17037
183974,20117,NULL,15706,1572
183983,NULL,13309,11366,114
184047,19480,NULL,40980,52
184056,23158,NULL,10246,645
184092,14747,NULL,10414,1032
184180,NULL,9508,5255,11319
184205,NULL,7736,2907,4361
184278,38998,NULL,32320,66
184348,26359,NULL,15953,1698
184427,18875,NULL,12126,439
184481,NULL,10521,5263,11840
184506,17181,NULL,10314,190
184603,13339,NULL,19583,6253
184612,17362,NULL,18111,1933
184694,21590,NULL,24615,2886
184746,12437,NULL,18620,218
184773,22344,NULL,17443,1886
184782,NULL,25529,12155,17470
184791,NULL,7487,3914,10101
184816,16215,NULL,9933,139
184870,19327,NULL,25011,445
184959,18595,NULL,15180,1047
184968,36540,NULL,10261,203
184995,NULL,7477,1517,12008
185129,NULL,12841,7553,7528
185174,25694,NULL,16141,102
185262,NULL,18547,9302,13725
185332,20738,NULL,27776,537
185396,19352,NULL,12041,1817
185466,16178,NULL,15188,444
185509,NULL,5125,4980,10712
185536,NULL,8642,3253,16876
185572,29632,NULL,23004,4965
185590,NULL,19949,9192,18798
185651,NULL,NULL,22271,70
185679,26897,NULL,19441,542
185721,19658,NULL,12501,729
185758,NULL,NULL,12313,NULL
185767,19996,NULL,10669,616
185828,NULL,18696,14578,9620
185873,NULL,12026,4293,14075
185970,17412,NULL,14629,283
186016,30024,NULL,14121,690
186034,NULL,9272,2014,10660
186052,22126,NULL,14374,988
186122,NULL,NULL,4049,NULL
186131,9749,NULL,12995,5674
186186,13495,NULL,7020,338
186201,NULL,20216,10021,6302
186274,32453,NULL,11304,226
186283,28387,NULL,21510,4431
186371,NULL,13293,13810,6354
186380,NULL,20623,14088,40054
186399,NULL,12888,18723,10329
186405,NULL,NULL,6239,16
186423,NULL,NULL,8250,69
186432,12412,NULL,17359,2900
186469,NULL,8828,5195,1473
186584,28903,NULL,23455,6328
186593,18722,NULL,12054,210
186618,19575,NULL,17652,855
186645,NULL,7128,4138,11281
186867,37598,NULL,25617,3194
186876,NULL,20399,8880,9772
186900,5701,NULL,6034,101
187000,11835,NULL,14662,268
187046,NULL,NULL,11447,15170
187134,NULL,27026,13134,7289
187198,NULL,3500,3766,13323
187444,NULL,16259,9620,10459
187505,16615,NULL,10217,1347
187532,NULL,3620,1120,35976
187596,NULL,6064,0,2379
187620,NULL,5313,1291,10490
187639,NULL,5855,1269,5278
187648,NULL,10325,4462,5608
187666,NULL,5029,1390,3643
187745,NULL,13444,4389,891
187897,NULL,10072,6872,2310
187903,NULL,7079,2404,3469
187912,NULL,5009,10076,450
187958,NULL,6808,1517,2867
187967,NULL,14236,6416,1568
187976,NULL,7529,1827,1934
187985,NULL,14329,6322,22328
187994,NULL,5752,2266,2984
188003,NULL,6593,1155,3185
188021,NULL,5146,1416,1714
188030,NULL,7867,4639,13024
188049,NULL,7123,1202,3555
188058,NULL,8224,5669,1117
188100,NULL,4747,1606,10179
188137,NULL,9231,2128,8448
188182,16748,NULL,11089,575
188207,NULL,NULL,20554,NULL
188216,NULL,4219,1409,507
188225,NULL,7789,1255,1987
188261,NULL,7939,934,1857
188289,11981,NULL,4838,119
188304,NULL,13178,4962,2982
188340,39418,NULL,19347,1802
188429,29004,NULL,24971,5819
188438,NULL,9005,3083,4861
188517,12274,NULL,15766,565
188526,29438,NULL,24852,916
188535,NULL,NULL,21904,NULL
188580,NULL,NULL,46130,NULL
188641,19289,NULL,8778,1993
188650,23629,NULL,8712,667
188669,28635,NULL,42885,114
188678,44820,NULL,28347,346
188687,17431,NULL,15607,645
188696,28391,NULL,9913,169
188854,40175,NULL,30231,1722
188890,16577,NULL,18617,2029
188915,22230,NULL,8722,66
188942,13243,NULL,8930,145
189015,NULL,NULL,70308,NULL
189088,25885,NULL,21844,2051
189097,29184,NULL,34147,2705
189219,16559,NULL,10393,452
189228,20085,NULL,20871,5727
189255,NULL,NULL,381,108
189264,5800,NULL,NULL,12
189273,3650,NULL,14923,56
189282,NULL,NULL,15185,217
189404,20758,NULL,12500,173
189413,17158,NULL,9545,904
189468,21029,NULL,11056,346
189477,8072,NULL,11076,263
189501,NULL,NULL,28295,NULL
189547,NULL,7059,2716,9473
189556,12576,NULL,18426,509
189565,10593,NULL,17372,384
189574,9541,NULL,13835,717
189583,13569,NULL,15094,873
189592,12107,NULL,20448,483
189705,20103,NULL,16427,2515
189714,15876,NULL,10735,463
189811,47215,NULL,13259,813
189839,NULL,5288,3364,7220
189848,39992,NULL,9748,1018
189857,14191,NULL,6326,458
189954,13228,NULL,6809,43
189981,NULL,NULL,25140,NULL
189990,16156,NULL,11539,822
190008,44640,NULL,17236,64
190044,30485,NULL,17713,3154
190053,NULL,7692,2668,1790
190071,NULL,NULL,14547,153
190080,NULL,NULL,12218,NULL
190099,26041,NULL,33704,3034
190114,22022,NULL,17551,1127
190150,22637,NULL,38622,8335
190169,NULL,5706,1938,2151
190239,15857,NULL,10557,288
190248,16429,NULL,27360,1237
190318,22748,NULL,10457,588
190372,15524,NULL,11887,896
190415,30494,NULL,29653,15222
190424,NULL,NULL,25175,NULL
190442,NULL,7108,2281,5147
190451,19064,NULL,11805,323
190503,30262,NULL,26076,4035
190512,NULL,2981,6734,18674
190521,NULL,6526,1935,35812
190530,NULL,5828,1082,14954
190549,NULL,3000,3966,17859
190558,NULL,6217,3798,15102
190567,NULL,3744,4047,15644
190576,NULL,NULL,7583,2988
190585,NULL,6398,1796,9755
190594,NULL,2796,5549,20471
190600,NULL,3737,3804,16119
190619,NULL,6323,1613,20637
190628,NULL,7877,2582,25259
190637,NULL,2910,3823,16060
190646,NULL,6294,1845,9167
190655,NULL,4882,2870,20973
190664,NULL,3817,4757,20564
190673,NULL,5772,2715,20604
190682,NULL,NULL,13399,NULL
190691,NULL,4434,3108,10586
190707,12343,NULL,9303,20
190716,20345,NULL,20191,1911
190725,19744,NULL,14500,2026
190752,12572,NULL,48424,37
190761,19424,NULL,18100,1607
190840,NULL,8123,3845,11358
190956,NULL,NULL,5460,144
190974,50167,NULL,15863,453
190983,23683,NULL,17637,1004
191083,NULL,5028,3483,19637
191126,NULL,11760,8569,10101
191199,NULL,10462,2939,9497
191205,19778,NULL,11728,677
191241,36301,NULL,28317,10344
191287,48635,NULL,55134,863
191302,NULL,8625,2461,2807
191311,29736,NULL,11008,345
191320,NULL,NULL,2567,NULL
191339,NULL,5943,1980,7529
191515,25160,NULL,32497,2039
191533,23564,NULL,22425,1277
191597,NULL,NULL,17994,609
191612,NULL,8239,3584,3851
191621,15188,NULL,12852,1327
191630,32994,NULL,27795,2291
191649,32435,NULL,27414,7343
191676,23170,NULL,13068,1111
191719,NULL,8494,4474,15742
191728,15034,NULL,7760,1848
191931,28754,NULL,20002,3490
191940,NULL,NULL,10332,112
191959,20596,NULL,13745,103
191968,33164,NULL,21196,6335
191986,NULL,8082,3099,5472
192004,6920,NULL,13770,421
192022,NULL,11472,2640,4839
192040,50794,NULL,7633,161
192110,29511,NULL,17027,592
192165,2551,NULL,1606,160
192192,25359,NULL,15039,1789
192271,36799,NULL,27234,1992
192323,22715,NULL,15572,3005
192448,24832,NULL,25158,11661
192484,28750,NULL,13816,145
192509,17179,NULL,12168,2333
192624,10854,NULL,6609,199
192688,16078,NULL,7326,1040
192703,28845,NULL,23401,3757
192712,45952,NULL,32392,491
192749,22563,NULL,17418,1855
192785,17944,NULL,16576,1008
192800,NULL,NULL,3689,52
192819,36170,NULL,23876,6173
192864,37254,NULL,23044,2283
192925,11352,NULL,12733,2028
192961,NULL,NULL,13752,150
192970,NULL,NULL,3436,20
193016,13774,NULL,16084,7997
193052,3425,NULL,5205,254
193061,9323,NULL,11901,35
193070,10910,NULL,16368,50
193122,NULL,31824,8519,121
193186,22243,NULL,16783,128
193201,19543,NULL,13501,853
193247,7764,NULL,7155,143
193265,21339,NULL,18789,104
193283,NULL,7429,2845,8852
193292,28977,NULL,24144,6115
193308,11128,NULL,11271,8399
193326,NULL,6836,2636,25793
193353,24321,NULL,18112,2238
193380,20953,NULL,16049,173
193399,18296,NULL,14028,1773
193405,NULL,NULL,36752,NULL
193478,NULL,4536,3376,26621
193584,29340,NULL,19863,2314
193609,29005,NULL,19286,98
193645,26900,NULL,17034,2996
193654,42812,NULL,30944,8788
193672,7681,NULL,18112,61
193751,NULL,NULL,25144,NULL
193821,NULL,NULL,29437,NULL
193830,NULL,NULL,42865,NULL
193858,15726,NULL,15865,583
193894,NULL,NULL,21053,NULL
193900,42397,NULL,36731,29431
193946,NULL,5236,2981,6470
193973,19290,NULL,13058,3148
193991,15279,NULL,10008,60
194028,NULL,10751,2290,2368
194073,NULL,NULL,27338,NULL
194091,21203,NULL,35135,4029
194116,31169,NULL,34402,587
194161,20151,NULL,13019,1645
194189,NULL,NULL,15771,134
194222,NULL,7452,2581,14800
194240,NULL,4427,4956,8235
194259,NULL,22379,1463,37
194310,29883,NULL,21158,9652
194392,26483,NULL,13372,798
194435,19047,NULL,9900,208
194499,13783,NULL,13114,1504
194569,16576,NULL,10387,321
194578,45559,NULL,33625,4220
194657,4323,NULL,2822,153
194666,4385,NULL,8434,305
194693,10350,NULL,20254,52
194736,9812,NULL,17041,147
194763,6044,NULL,3371,265
194824,36159,NULL,27840,6493
194958,23721,NULL,15707,1571
195003,30068,NULL,22053,15115
195030,29373,NULL,22774,7324
195049,NULL,NULL,0,NULL
195058,NULL,9751,3289,9481
195067,15499,NULL,10568,835
195128,20706,NULL,15483,1423
195155,NULL,NULL,14853,NULL
195164,23099,NULL,14076,1664
195173,26266,NULL,15976,2433
195191,NULL,NULL,14469,318
195216,27494,NULL,23712,2509
195234,22209,NULL,13911,2587
195243,20827,NULL,25852,2025
195289,19788,NULL,13711,166
195304,37322,NULL,27450,1493
195322,NULL,5780,1807,8342
195438,5570,NULL,6728,131
195474,27470,NULL,14670,3316
195526,27433,NULL,34195,2856
195544,16769,NULL,18186,1042
195562,19226,NULL,18290,3432
195580,NULL,NULL,3123,NULL
195702,22125,NULL,8595,209
195720,27299,NULL,20828,2948
195784,25295,NULL,12953,761
195809,25792,NULL,20529,18051
195933,20824,NULL,18092,373
195988,NULL,8262,2760,1986
196006,NULL,16480,3683,4060
196015,NULL,13728,4164,4981
196024,NULL,15066,4283,4138
196033,NULL,15373,3877,3277
196042,NULL,9268,5144,19869
196051,NULL,17469,4685,3741
196060,NULL,17298,7146,15178
196079,NULL,18958,8187,14866
196088,NULL,17090,9830,23672
196097,NULL,14893,10509,20208
196103,NULL,19341,5007,1915
196112,NULL,12761,5991,2411
196121,NULL,15837,5231,8026
196130,NULL,12766,4221,9749
196149,NULL,18591,5740,7124
196158,NULL,15139,4650,4681
196167,NULL,19403,5821,5863
196176,NULL,17111,5898,8514
196185,NULL,16853,5242,6594
196194,NULL,15575,5339,9847
196200,NULL,14131,3828,3996
196219,NULL,18376,6824,4683
196228,NULL,NULL,30300,NULL
196237,NULL,11144,4664,6119
196246,NULL,14393,5227,6069
196255,NULL,NULL,24806,370
196264,NULL,13412,5521,15814
196291,NULL,20006,7596,1790
196307,NULL,NULL,23571,293
196389,22394,NULL,21267,1189
196413,34472,NULL,25789,28487
196431,11393,NULL,9538,301
196440,1937,NULL,26373,10
196468,NULL,NULL,28638,NULL
196565,NULL,10558,4430,9075
196583,12094,NULL,8450,73
196592,18520,NULL,21135,7871
196653,13770,NULL,18319,1772
196680,NULL,NULL,6029,36802
196699,NULL,3581,3422,4560
196866,35005,NULL,32664,2223
196884,NULL,NULL,2720,NULL
197018,5290,NULL,10256,1945
197027,NULL,5024,0,970
197036,NULL,NULL,0,4646
197045,23251,NULL,13505,4362
197133,27808,NULL,28258,2562
197142,9695,NULL,15317,642
197151,44473,NULL,36760,3778
197197,29417,NULL,21720,1944
197221,18816,NULL,4,98
197230,19878,NULL,13832,494
197285,16622,NULL,20774,1331
197294,NULL,7524,3563,20279
197337,15002,NULL,7043,109
197531,11746,NULL,2245,729
197601,8278,NULL,8847,152
197647,8447,NULL,4939,85
197674,5299,NULL,10567,190
197692,5220,NULL,22873,83
197708,36414,NULL,17888,2925
197735,7395,NULL,5860,658
197744,14480,NULL,4837,200
197814,NULL,5026,1221,3263
197850,NULL,6148,1153,3935
197869,NULL,14018,6780,18135
197887,NULL,6729,1333,10492
197911,23240,NULL,14395,970
197966,NULL,7540,959,1994
197984,22101,NULL,10595,1721
197993,18772,NULL,4933,541
198011,NULL,10000,710,1643
198039,NULL,7059,1203,2812
198066,21716,NULL,13111,698
198084,NULL,6882,572,1860
198109,17356,NULL,13059,481
198118,NULL,2590,1203,4636
198136,21434,NULL,14773,5183
198154,NULL,9277,1767,12293
198190,20260,NULL,7076,78
198206,NULL,10017,1384,2077
198215,18569,NULL,22476,1492
198233,NULL,7264,1377,6125
198251,NULL,4904,1237,6811
198260,NULL,6325,1803,29552
198303,17395,NULL,10482,1582
198321,NULL,3107,1083,3883
198330,NULL,8317,1385,6255
198367,NULL,11825,1598,4599
198376,NULL,6397,901,5013
198385,22109,NULL,21158,1985
198419,23442,NULL,30002,7504
198455,NULL,6921,2036,8049
198464,NULL,16506,7523,25427
198491,NULL,5440,613,2967
198507,NULL,3232,3124,1538
198516,35160,NULL,29073,6187
198534,NULL,6975,1607,18684
198543,NULL,5858,3313,6522
198552,NULL,4980,1309,11306
198561,19815,NULL,11922,2454
198570,NULL,9160,1402,7333
198598,21106,NULL,11511,1018
198613,23758,NULL,12735,1824
198622,NULL,8893,806,14735
198640,NULL,2705,631,1626
198668,NULL,5478,1203,2223
198677,9386,NULL,5739,45
198695,38877,NULL,24204,4631
198710,NULL,5099,623,2662
198729,NULL,4111,629,1596
198756,20019,NULL,11618,1578
198774,NULL,6202,1097,5343
198808,21232,NULL,9087,1019
198817,NULL,3856,1302,3843
198835,19976,NULL,12594,1830
198844,4962,NULL,3753,314
198862,17222,NULL,12403,1353
198871,24619,NULL,10979,715
198899,16053,NULL,10847,1343
198905,NULL,6293,468,1001
198914,NULL,9417,676,1455
198923,NULL,5562,998,1418
198950,24366,NULL,18498,1900
198969,31430,NULL,15825,2149
198978,24596,NULL,14994,4672
198987,NULL,8410,1483,4188
199005,12552,NULL,9511,13
199023,NULL,6678,1354,1142
199032,21275,NULL,11743,845
199069,16136,NULL,9432,4197
199078,20975,NULL,11561,303
199087,NULL,5785,1425,4549
199102,NULL,10046,6512,11370
199111,NULL,12794,6841,4366
199120,NULL,13918,15003,19773
199139,NULL,16943,8263,27078
199148,NULL,12158,6177,18374
199157,NULL,13285,6130,7165
199184,NULL,13548,14580,889
199193,NULL,16404,10797,27424
199209,15723,NULL,10709,2459
199218,NULL,18910,7440,16604
199263,NULL,3087,1338,693
199272,24016,NULL,14497,1133
199281,NULL,12339,4638,6252
199306,24556,NULL,12209,881
199324,NULL,5206,1361,1692
199333,NULL,5390,992,12206
199412,21270,NULL,12169,2010
199421,NULL,4967,1024,3475
199449,NULL,4439,414,3107
199458,16696,NULL,7669,214
199467,NULL,4429,593,1067
199476,NULL,8140,825,2631
199485,NULL,3153,1377,2379
199494,NULL,4809,696,7939
199582,25403,NULL,14048,1040
199607,17576,NULL,9006,869
199625,NULL,8553,811,2049
199634,NULL,8385,1481,5329
199643,18463,NULL,14841,1635
199670,12832,NULL,20334,150
199689,12672,NULL,9172,224
199698,25115,NULL,11124,756
199722,NULL,5517,743,1887
199731,NULL,3803,1204,3262
199740,NULL,4868,1262,3837
199759,NULL,NULL,7398,847
199768,NULL,6089,1040,4040
199786,NULL,10142,1824,5651
199795,NULL,6409,595,1411
199838,NULL,2869,1009,4014
199847,32129,NULL,31902,5244
199856,NULL,7429,2099,29480
199865,26017,NULL,14350,644
199883,NULL,NULL,15827,181
199892,NULL,2948,1190,4392
199908,NULL,1886,1110,2306
199926,NULL,4585,983,3416
199953,NULL,13447,718,2687
199962,19036,NULL,12167,2729
199971,NULL,NULL,6751,48
199980,4543,NULL,3605,192
199999,NULL,11802,4772,5408
200004,NULL,15607,6205,10449
200013,18839,NULL,19081,894
200022,NULL,10165,4836,4948
200059,NULL,11697,6080,1742
200086,NULL,5993,3931,331
200110,14095,NULL,12056,64
200156,19177,NULL,10212,1035
200192,NULL,9666,4014,2964
200208,NULL,6796,319,362
200217,16774,NULL,16959,2862
200226,NULL,12233,6051,1549
200253,NULL,10920,5977,3574
200262,9245,NULL,7757,15
200280,NULL,15970,11379,13536
200305,NULL,11148,3770,3657
200314,NULL,9618,3756,1225
200332,NULL,16062,10016,12459
200341,NULL,10603,2002,1559
200387,13773,NULL,8115,39
200466,NULL,2497,3187,427
200484,17477,NULL,10448,202
200527,6428,NULL,2214,744
200554,3628,NULL,18067,551
200572,NULL,11737,6134,1669
200590,6980,NULL,10003,268
200624,27860,NULL,14731,26
200697,NULL,NULL,NULL,NULL
200785,22859,NULL,15430,839
200800,NULL,17124,9521,18944
200846,NULL,8909,7589,2523
200873,8157,NULL,4875,89
201016,19632,NULL,12508,220
201034,NULL,5273,5304,1390
201061,26617,NULL,21636,188
201098,NULL,8779,11348,71
201104,20449,NULL,13148,6910
201131,NULL,11282,7580,161
201140,NULL,NULL,NULL,NULL
201159,NULL,20056,5968,235
201177,19789,NULL,18259,468
201195,22669,NULL,16362,3503
201283,NULL,5105,3148,1496
201371,26087,NULL,11187,812
201399,NULL,NULL,8671,193
201432,NULL,12750,5844,2457
201441,NULL,18456,9034,16652
201469,16882,NULL,20302,544
201478,NULL,13490,4753,217
201496,NULL,21383,15654,399
201539,NULL,16310,8504,160
201548,21973,NULL,13907,3029
201645,32938,NULL,26845,5275
201654,21390,NULL,17091,3838
201672,NULL,10321,3664,5380
201681,19227,NULL,5041,156
201690,NULL,13310,3432,2004
201751,11684,NULL,10142,417
201803,NULL,17513,4902,126
201821,19618,NULL,11539,1006
201858,21962,NULL,9279,687
